datetime,datetime,value
0,0,0.096
0,15,0.091
0,30,0.087
0,45,0.083
1,0,0.079
1,15,0.075
1,30,0.072
1,45,0.069
2,0,0.067
2,15,0.065
2,30,0.063
2,45,0.061
3,0,0.06
3,15,0.059
3,30,0.058
3,45,0.057
4,0,0.056
4,15,0.056
4,30,0.056
4,45,0.056
5,0,0.056
5,15,0.057
5,30,0.057
5,45,0.058
6,0,0.058
6,15,0.059
6,30,0.061
6,45,0.062
7,0,0.064
7,15,0.067
7,30,0.069
7,45,0.071
8,0,0.072
8,15,0.073
8,30,0.075
8,45,0.076
9,0,0.078
9,15,0.079
9,30,0.081
9,45,0.082
10,0,0.083
10,15,0.084
10,30,0.085
10,45,0.086
11,0,0.087
11,15,0.088
11,30,0.089
11,45,0.091
12,0,0.092
12,15,0.092
12,30,0.093
12,45,0.094
13,0,0.094
13,15,0.094
13,30,0.094
13,45,0.094
14,0,0.094
14,15,0.093
14,30,0.093
14,45,0.093
15,0,0.092
15,15,0.091
15,30,0.091
15,45,0.091
16,0,0.091
16,15,0.091
16,30,0.092
16,45,0.092
17,0,0.093
17,15,0.093
17,30,0.095
17,45,0.096
18,0,0.099
18,15,0.102
18,30,0.104
18,45,0.107
19,0,0.11
19,15,0.112
19,30,0.115
19,45,0.117
20,0,0.119
20,15,0.121
20,30,0.122
20,45,0.123
21,0,0.124
21,15,0.123
21,30,0.123
21,45,0.121
22,0,0.119
22,15,0.117
22,30,0.114
22,45,0.111
23,0,0.109
23,15,0.107
23,30,0.104
23,45,0.1
